"","utterance","condition","Mean","model","language"
"1","color","color sufficient",0.8,"empirical","CTSL"
"2","color","size sufficient",0.0328947368421053,"empirical","CTSL"
"3","size","color sufficient",0.0230769230769231,"empirical","CTSL"
"4","size","size sufficient",0.282894736842105,"empirical","CTSL"
"5","size_color","color sufficient",0.176923076923077,"empirical","CTSL"
"6","size_color","size sufficient",0.684210526315789,"empirical","CTSL"
"7","size_color","color sufficient",0.218974461860667,"vanilla","CTSL"
"8","size_color","size sufficient",0.478159726964841,"vanilla","CTSL"
"9","color","color sufficient",0.775107590879846,"vanilla","CTSL"
"10","color","size sufficient",0.0459616883343951,"vanilla","CTSL"
"11","size","color sufficient",0.00591794725948672,"vanilla","CTSL"
"12","size","size sufficient",0.475878584700764,"vanilla","CTSL"
"13","size_color","color sufficient",0.247913210400821,"continuous","CTSL"
"14","size_color","size sufficient",0.623199269623918,"continuous","CTSL"
"15","color","color sufficient",0.701482276159253,"continuous","CTSL"
"16","color","size sufficient",0.0248819942767252,"continuous","CTSL"
"17","size","color sufficient",0.0500531717928207,"continuous","CTSL"
"18","size","size sufficient",0.351876580709271,"continuous","CTSL"
"19","size_color","color sufficient",0.166090395248535,"incremental","CTSL"
"20","size_color","size sufficient",0.246203260195577,"incremental","CTSL"
"21","color","color sufficient",0.801541087817169,"incremental","CTSL"
"22","color","size sufficient",0.192273675694214,"incremental","CTSL"
"23","size","color sufficient",0.0323685159628466,"incremental","CTSL"
"24","size","size sufficient",0.561523060194532,"incremental","CTSL"
"25","size_color","color sufficient",0.388556555553868,"incrementalContinuous","CTSL"
"26","size_color","size sufficient",0.346378774650916,"incrementalContinuous","CTSL"
"27","color","color sufficient",0.605445519817841,"incrementalContinuous","CTSL"
"28","color","size sufficient",0.0397351011892983,"incrementalContinuous","CTSL"
"29","size","color sufficient",0.00597968087164555,"incrementalContinuous","CTSL"
"30","size","size sufficient",0.613849177010944,"incrementalContinuous","CTSL"
